	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	MeanNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF	GGF
1087	ITFR	yelp	452	456	500	20	0.00015395121071367846	0.9806888890698732	295.8677896575346	1755.4122037550014	0.8182147184519389	0.8213046640634741	0.20394736842105263	0.3339008390903473	1.703003352200133e-08
1089	ITFR	yelp	452	456	500	20	0.00015184648814470605	0.9827601835959371	306.0660464295874	1742.3727300707912	0.8221659396163958	0.799268330765751	0.19078947368421054	0.34063607454299927	1.8089461126695792e-08
1091	ITFR	yelp	618	619	700	20	0.0001570446876603537	0.9818263287580407	517.4669469796681	3164.7420901396545	0.7755688894869592	0.8903083320054647	0.1421647819063005	0.3736509382724762	1.1379446517782549e-08
1093	ITFR	yelp	618	619	700	20	0.0001886533083221595	0.9833501344005442	527.2373570891118	3292.7485521751955	0.7641412092657838	0.8903294173768745	0.12762520193861066	0.35105451941490173	9.923601330300617e-09
1095	ITFR	yelp	618	619	700	20	0.000221206869830448	0.9826066439812521	420.4673081274988	2717.036112756779	0.7926022696112865	0.865282136886716	0.15508885298869143	0.33386486768722534	9.640873407743257e-09
1097	ITFR	yelp	618	619	700	20	0.00022078832850583072	0.9794894217932912	475.5624994157352	2876.0312662301226	0.7789956273118194	0.8689700562314199	0.14378029079159935	0.36811330914497375	1.05623909848723e-08
1099	ITFR	yelp	618	619	700	20	0.00016211506421204942	0.9807804347935765	548.9659562245068	3579.472300155809	0.7551687199634619	0.8980288000838064	0.11793214862681745	0.3474518954753876	1.10709699501021e-08
1101	ITFR	yelp	846	859	1000	20	0.0006664896718077859	0.977604921047823	702.4462892355701	4157.375208197527	0.769290558446157	0.9115919488243325	0.12339930151338765	0.4226592183113098	8.569591532372448e-09
1103	ITFR	yelp	846	859	1000	20	0.0006281932206244428	0.9792859956337452	644.5262545378324	3783.3216575572483	0.7693813490297521	0.8966537686540694	0.12456344586728754	0.4260300397872925	7.934493149648846e-09
1105	ITFR	yelp	846	859	1000	20	0.0005757085919518644	0.9793215116213339	699.2458836732807	4013.6452896876317	0.7660945119894683	0.9017626839876736	0.11874272409778813	0.4060022234916687	7.992206348025694e-09
