	Approach	Dataset	Users	Items	Interactions	k	Variance-NDCG	Variance-Exposure	Variance-ExposureEqWeight	Entropy	Gini	MMS	IIF
675	Baseline	black_friday	455	426	500	40		1198.6717856333987	16279.143930877908	0.6441155550210954	0.8400081036220692	0.10093896713615023	
676	ITFR	black_friday	455	426	500	40	9.140592141074471e-05	408.977605562765	2998.3551984835462	0.9012564780181762	0.6524882297020934	0.2887323943661972	tensor(0.3204)
677	Baseline	black_friday	611	546	700	40		1727.983237350578	23361.71620443049	0.6216520211943609	0.8601100235056669	0.07875457875457875	
678	ITFR	black_friday	611	546	700	40	6.135399078999374e-05	707.9124033104699	6444.031222745509	0.8412975388797549	0.7824973781226064	0.21245421245421245	tensor(0.3832)
679	Baseline	black_friday	841	716	1000	40		2516.779058624293	34637.58351799258	0.5967436927853361	0.8771077049186948	0.05865921787709497	
680	ITFR	black_friday	841	716	1000	40	9.881049009085627e-05	772.9340830027925	6799.482959333354	0.8555822721325151	0.7611217565819878	0.25558659217877094	tensor(0.4031)
681	Baseline	black_friday	1166	948	1500	40		3607.7704338965355	50266.82143175063	0.5786255215996084	0.8895141590557625	0.046413502109704644	
682	ITFR	black_friday	1166	948	1500	40	0.00010892515283684042	674.3788003896575	5476.658984493226	0.8908963398718915	0.6947343234665051	0.2879746835443038	tensor(0.4361)
683	Baseline	movielens	236	241	300	40		508.9082578968666	7039.294709113132	0.7100421811981833	0.7741389865355879	0.17427385892116182	
684	ITFR	movielens	236	241	300	40	7.511095802867925e-05	169.50511308632264	1246.1743771629278	0.9325746379881046	0.557886647697167	0.3775933609958506	tensor(0.3323)
685	Baseline	movielens	266	277	350	40		584.7856280776457	7974.798133691302	0.6949678496356412	0.7936229092852188	0.1552346570397112	
686	ITFR	movielens	266	277	350	40	8.527575349732706e-05	208.03984494898538	1589.8306246660322	0.9161322808584991	0.6087361029872868	0.3285198555956679	tensor(0.3609)
687	Baseline	movielens	291	305	400	40		647.8619528956033	8959.612469766193	0.6810558689147467	0.8058060570798532	0.13442622950819672	
688	ITFR	movielens	291	305	400	40	7.267265702524046e-05	94.33882879642249	778.3993550120935	0.9545197678713797	0.4648220631241113	0.4098360655737705	tensor(0.4095)
689	Baseline	movielens	335	359	500	40		722.2699859550318	10184.53166874869	0.6680375016936719	0.8190812616513894	0.116991643454039	
690	ITFR	movielens	335	359	500	40	6.250075254820824e-05	109.51715533669649	1048.799078219443	0.9410901880773601	0.5082417723272585	0.37047353760445684	tensor(0.4042)
